Ubs,V;Ibs,A;Isun,A;Ipt1,A;Ipt2,A;Ipt3,A;Ipt4,A;Ipt5,A;Ipt6,A;Ipt7,A;Ipt10,A;Ipt11,A;Ipt12,A;Ipt13,A;Ipt14,A;Ipt15,A;Ipt16,A;Ipt17,A;TR1,C;TR2,C;TR3,C;TR4,C;TR5,C;TR6,C;TR7,C;TR8,C;TR9,C;TR10,C;TR11,C;TR12,C;TR13,C;TR14,C;TR15,C;TR16,C;TDS1,C;TDS2,C;TDS3,C;TDS4,C;TDS5,C;TDS6,C;TDS7,C;TDS8,C;TDS9,C;TKpt,C;TGbv,C;TNap,C;TPrd2,C;TPrd1,C;TDS24,C;Class
14,24;0,21;0,00;0,07;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21;20;10;8;4;5;2;4;3;0;-33;4;4;6;4;0;18;18;18;18;18;17;17;17;17;26;19;18;19;19;22;0
14,24;0,27;0,00;0,07;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21;20;9;8;4;5;1;2;3;0;-34;6;2;6;4;-2;18;18;18;18;18;17;17;17;17;26;19;18;19;19;22;0
14,24;0,21;0,00;0,07;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21;20;9;8;3;5;1;2;3;0;-34;4;2;4;2;-2;18;18;18;18;18;17;17;17;17;26;19;18;19;19;22;0
14,24;0,21;0,00;0,07;0,09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21;20;7;7;3;5;1;2;1;0;-34;4;2;4;2;-2;17;17;18;18;18;17;17;17;17;26;19;18;19;19;22;0
14,24;0,24;0,00;0,09;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21;20;7;7;3;4;1;2;1;-1;-33;4;2;4;2;-2;17;17;18;18;18;17;16;17;17;26;19;18;19;19;22;0
14,17;0,24;0,00;0,07;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21;20;7;7;3;4;-1;2;1;-1;-33;3;2;3;2;-3;17;17;17;18;18;17;16;17;17;26;19;18;18;19;22;0
14,17;0,21;0,00;0,09;0,09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21;20;7;5;3;4;-1;1;1;-1;-33;3;1;3;1;-3;17;17;17;18;18;17;16;17;16;26;18;18;18;18;22;0
14,17;0,27;0,00;0,04;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21;20;6;5;1;4;-1;1;0;-3;-33;3;1;3;1;-3;17;17;17;17;18;17;16;16;16;26;18;18;18;18;22;0
14,17;0,21;0,00;0,09;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21;20;6;5;1;4;-2;1;0;-3;-33;3;1;3;1;-3;17;17;17;17;18;17;16;16;16;26;18;18;18;18;22;0
14,17;0,27;0,00;0,09;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21;19;6;4;1;2;-2;1;0;-3;-34;3;-1;1;1;-5;17;17;17;17;18;16;16;16;16;26;18;18;18;18;22;0
14,17;0,27;0,00;0,09;0,09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21;19;4;4;1;2;-2;-1;-2;-3;-34;3;-1;1;1;-5;17;17;17;17;18;16;16;16;16;26;18;18;18;18;22;0
14,37;0,21;1,41;0,07;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21;20;6;4;1;2;-2;-1;0;-3;-26;4;2;3;1;-3;17;17;17;17;17;16;15;16;16;26;18;18;18;18;22;0
14,50;0,27;1,33;0,09;0,09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21;19;4;4;0;2;-1;1;0;-3;-23;4;2;4;1;2;17;17;17;17;17;16;15;16;16;26;18;18;18;18;22;0
14,56;0,24;1,09;0,09;0,09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20;19;4;4;0;2;-1;1;0;-1;-18;4;4;4;2;0;17;17;17;17;17;16;15;16;16;26;18;18;18;18;22;0
14,63;0,21;0,93;0,09;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21;19;6;4;1;4;-1;2;1;-3;-13;3;4;4;4;2;17;17;17;17;17;16;15;16;15;26;18;18;17;18;22;0
14,50;0,19;0,03;0,07;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21;19;4;4;1;2;1;2;1;-1;-10;3;5;4;4;3;17;16;17;17;17;16;15;15;15;26;18;18;17;18;22;0
14,56;0,27;0,96;0,07;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20;19;4;4;0;2;1;2;1;-1;-9;4;4;6;4;5;17;17;17;17;17;16;15;15;15;26;18;18;17;17;22;0
